system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60,date,lat,lon,.geo
927,1201,115,80,867,572,341,313,317,315,266,279,0,2023-06-03,45.38534670119764,-61.46934602433907,"{""type"":""MultiPoint"",""coordinates"":[]}"
931,1412,50,27,999,602,351,310,251,214,189,182,0,2023-07-21,-30.763202153769033,31.21535147361875,"{""type"":""MultiPoint"",""coordinates"":[]}"
932,1681,1217,1014,1404,1201,1120,1020,1060,1144,1020,1212,0,2023-04-02,4.672055285604469,100.01103629731614,"{""type"":""MultiPoint"",""coordinates"":[]}"
934,3245,2286,1876,2936,2356,2462,2652,2831,2967,2996,2984,0,2023-12-16,57.29484330093818,25.69638205429953,"{""type"":""MultiPoint"",""coordinates"":[]}"
939,1630,2108,1155,1529,1592,1552,1648,2606,3091,3003,3330,0,2023-03-25,5.188887941660117,-65.19847300836672,"{""type"":""MultiPoint"",""coordinates"":[]}"
942,1527,57,39,1257,867,346,254,209,202,152,159,0,2023-09-10,18.996757520766337,-91.92494664095574,"{""type"":""MultiPoint"",""coordinates"":[]}"
943,1183,115,89,858,526,320,277,242,237,222,206,0,2023-06-02,49.0107678398976,153.22741876427273,"{""type"":""MultiPoint"",""coordinates"":[]}"
944,2244,6564,5959,2429,3240,4681,4953,5209,5547,5449,5768,0,2023-12-19,24.524405043063485,19.34022444551586,"{""type"":""MultiPoint"",""coordinates"":[]}"
950,1443,449,347,1166,802,597,579,574,579,520,546,0,2023-10-06,-22.614742905272788,159.15750056556126,"{""type"":""MultiPoint"",""coordinates"":[]}"
952,1178,1985,970,926,785,632,986,1752,1974,2021,2270,0,2023-06-20,67.81886166013398,-141.32485429796273,"{""type"":""MultiPoint"",""coordinates"":[]}"
958,5810,6156,5537,5035,4684,5201,5736,6142,6408,5843,6691,0,2023-11-19,42.405726029907704,19.369948628392798,"{""type"":""MultiPoint"",""coordinates"":[]}"
962,1393,2067,1184,1069,800,807,889,1016,1189,1162,1432,0,2023-10-05,58.037832983752416,-115.0121056238685,"{""type"":""MultiPoint"",""coordinates"":[]}"
963,1859,1492,799,1509,1004,890,1100,1567,1718,1749,1991,0,2023-10-28,67.3090465483338,70.37729041153793,"{""type"":""MultiPoint"",""coordinates"":[]}"
965,1270,33,28,859,471,248,201,172,147,121,110,0,2023-07-20,-23.77611565522629,168.64911878544862,"{""type"":""MultiPoint"",""coordinates"":[]}"
966,1222,1802,837,958,939,624,1061,2488,3154,3016,3539,0,2023-05-23,8.494872542286044,21.682533427423458,"{""type"":""MultiPoint"",""coordinates"":[]}"
967,1525,3378,2730,1545,1590,1864,1909,2314,2640,2418,2834,0,2023-10-20,10.858212205140186,78.12608322660162,"{""type"":""MultiPoint"",""coordinates"":[]}"
969,1684,2931,2612,1483,1533,1886,2083,2220,2372,2338,2562,0,2023-02-18,43.068121647837835,69.57947222926497,"{""type"":""MultiPoint"",""coordinates"":[]}"
971,1656,2057,1563,1373,1249,1249,1436,1673,1761,1807,1885,0,2023-04-14,37.11057071185921,126.92542375567838,"{""type"":""MultiPoint"",""coordinates"":[]}"
973,1068,1685,798,836,794,662,866,1974,2285,2201,2613,0,2023-04-22,-17.60317982916885,-46.07999500140675,"{""type"":""MultiPoint"",""coordinates"":[]}"
974,1019,791,354,724,558,337,523,1163,1388,1408,1480,0,2023-08-17,48.99327233473852,-71.44119453453823,"{""type"":""MultiPoint"",""coordinates"":[]}"
975,1493,168,127,1186,899,559,457,386,374,330,318,0,2023-05-15,58.71008555988624,-162.23489605973387,"{""type"":""MultiPoint"",""coordinates"":[]}"
976,1956,6995,6014,2093,2945,4696,4914,5216,5635,5418,5824,0,2023-06-25,21.553953859690626,24.280486768811098,"{""type"":""MultiPoint"",""coordinates"":[]}"
980,2153,2721,1587,1890,1871,1780,1815,3340,4207,4112,4609,0,2023-07-11,39.77628039627934,-80.71472812689467,"{""type"":""MultiPoint"",""coordinates"":[]}"
981,1884,2383,1347,1617,1389,1325,1582,2063,2337,2391,2657,0,2023-06-13,47.70104039833952,-54.56247482730432,"{""type"":""MultiPoint"",""coordinates"":[]}"
982,3653,1239,1114,3015,2176,2035,2014,2027,2004,1801,2039,0,2023-11-15,58.498807046922266,21.26166278758802,"{""type"":""MultiPoint"",""coordinates"":[]}"
983,1374,313,212,1047,691,516,439,416,421,381,392,0,2023-05-26,6.7818573852359405,119.89666939269398,"{""type"":""MultiPoint"",""coordinates"":[]}"
986,1849,24,21,907,684,372,296,377,319,229,171,0,2023-05-25,60.849199599204006,-41.845185834906665,"{""type"":""MultiPoint"",""coordinates"":[]}"
988,1382,2453,1072,1115,1144,785,1249,2668,3405,3180,3928,0,2023-10-16,7.622553201885164,-67.8345798677422,"{""type"":""MultiPoint"",""coordinates"":[]}"
989,1867,5228,4685,1885,2290,3357,3507,3734,3939,3809,4061,0,2023-04-30,27.06369318810811,-8.340282208749104,"{""type"":""MultiPoint"",""coordinates"":[]}"
993,1484,4130,2663,1317,1577,1740,2184,3223,3899,3472,4204,0,2023-08-10,14.44296406363319,-3.1269655017590936,"{""type"":""MultiPoint"",""coordinates"":[]}"
994,1423,2337,1975,1132,1005,1102,1198,1388,1518,1406,1665,0,2023-03-31,45.57445127658957,44.097536283934794,"{""type"":""MultiPoint"",""coordinates"":[]}"
996,2427,6496,5868,2609,3269,4521,4715,4997,5338,5167,5545,0,2023-12-07,26.57752033127771,20.451237868015653,"{""type"":""MultiPoint"",""coordinates"":[]}"
999,1776,508,247,1328,838,611,643,839,868,915,992,0,2023-11-08,54.870487241817045,20.835815721880646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1000,5047,438,296,4286,3872,4039,4271,4664,4512,4067,4298,0,2023-05-14,59.928235183092006,84.83525215584672,"{""type"":""MultiPoint"",""coordinates"":[]}"
1001,2004,3649,3006,1720,1872,2019,2311,2656,2984,2655,3138,0,2023-12-18,10.513347377414243,44.11742509826009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,6018,1073,956,5487,4087,4513,4729,4829,4760,4289,4690,0,2023-02-06,73.28323575236125,58.5806867443542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,1402,55,37,919,492,285,230,205,181,143,136,0,2023-10-18,24.250972207421253,-84.24176151370364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,1377,401,149,877,629,373,399,842,1175,1011,1248,0,2023-06-13,-0.8498345833438983,113.26457787854433,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,1193,1199,425,895,719,454,682,2110,2777,2397,3035,0,2023-01-30,-0.6432971556215076,-77.3782158836098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,1286,2197,1246,1022,872,787,917,1336,1550,1545,1747,0,2023-09-18,47.98081536317318,-100.63511309710302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,1321,2144,1349,1065,900,837,987,1433,1589,1622,1737,0,2023-07-22,-31.75596348045882,148.76788906704599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,3831,541,344,3018,2062,1806,1763,1976,2074,2023,2041,0,2023-11-20,66.46270448786804,38.85963349894179,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,1373,564,206,1012,837,533,677,1320,1673,1904,1811,0,2023-09-04,0.3019585741098453,102.60300836481639,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,1439,1621,616,1111,966,615,897,2458,3353,3220,3753,0,2023-04-05,1.6216524008780309,13.00117747032528,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,1149,2076,1004,942,884,762,1150,1949,2322,2269,2673,0,2023-10-04,-6.282390254526679,-43.78403644383668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,1650,2532,1695,1282,1174,1147,1573,2097,2343,2401,2636,0,2023-11-21,32.02519403492526,116.83890615706527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,1604,3290,2678,1632,1842,2407,2548,2694,2826,2720,2870,0,2023-11-24,34.650073829060894,49.26208388654385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046,1153,1155,568,867,745,549,726,1423,1673,2131,1879,0,2023-08-28,42.316827395274856,-124.2012827376491,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049,8517,3951,3084,8205,7722,7816,7738,7684,7600,7247,7388,0,2023-10-07,-64.31986642178339,-52.30705130648406,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,1361,206,149,1011,672,408,372,350,345,330,315,0,2023-07-01,10.326269224484202,102.08224280931725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052,1171,2439,1194,956,934,710,1100,2178,2605,2573,3084,0,2023-10-05,41.53610868809848,-86.24295338369599,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,1468,2613,1490,1169,1140,975,1337,2623,3044,2766,3379,0,2023-10-22,-7.462209020257865,-78.69453068158342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058,1865,6181,4747,1924,2552,3963,3987,4313,4781,4294,4868,0,2023-08-23,17.994531179667373,-0.5739794208473074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1061,1326,2907,1886,1119,1121,1530,1527,2237,2752,2057,2815,0,2023-07-13,5.641423161793846,20.51070022995633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1062,1491,372,296,1139,802,633,503,544,525,463,480,0,2023-01-06,-10.54323270266941,121.05172641985178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1063,2217,169,130,1631,1025,698,646,623,551,459,466,0,2023-12-17,56.990246018397684,-58.26564072367709,"{""type"":""MultiPoint"",""coordinates"":[]}"
1064,1412,2743,1748,1219,1203,1173,1369,2199,2537,2507,2886,0,2023-04-30,-20.63874658920075,24.177656899942864,"{""type"":""MultiPoint"",""coordinates"":[]}"
1067,1185,1874,767,907,893,491,1047,2531,3083,2944,3436,0,2023-02-20,-9.796386155753044,14.2333265259916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1068,1027,1451,541,714,579,318,648,2497,3392,3034,3695,0,2023-08-29,43.634424474768885,-89.99215850591544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1070,1486,2042,947,1138,1025,749,1361,3000,3610,3550,4024,0,2023-02-24,48.20570877001028,-2.735831058454229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1072,2231,29,18,1708,1091,725,631,561,543,426,381,0,2023-05-31,76.95768962483888,-12.687532708187883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,2015,967,736,1359,1031,891,919,923,949,739,973,0,2023-01-30,6.734135939008405,112.64841317425329,"{""type"":""MultiPoint"",""coordinates"":[]}"
1074,1412,3668,2671,1263,1238,1583,1669,1956,2174,2252,2546,0,2023-12-05,-11.723419259050758,37.92509635139748,"{""type"":""MultiPoint"",""coordinates"":[]}"
1076,1402,2202,1280,1282,1372,1323,1734,2707,3093,3110,3334,0,2023-03-29,-31.372302199647844,143.89038147899328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1077,1477,3362,2325,1368,1402,1319,1731,2740,3210,3085,3630,0,2023-03-20,-20.346659487049102,24.558060642793915,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,1452,2869,2047,1156,1236,1175,1671,2612,2980,2866,3197,0,2023-06-19,37.741801492220596,110.63745387301593,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,1643,373,302,1162,762,566,532,512,521,414,506,0,2023-05-16,31.64541089828833,29.592041267882976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,2352,1823,1496,2182,1961,2024,1879,1903,2035,1746,2106,0,2023-06-05,19.827719414537686,40.479291592314645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,4588,1507,1530,4411,4079,4027,4009,4141,4315,4151,4357,0,2023-01-26,-3.0844008586831917,108.20653683311743,"{""type"":""MultiPoint"",""coordinates"":[]}"
1092,9528,2783,2817,9751,9482,10302,10489,10451,10380,10070,10280,0,2023-10-24,-75.99993527510138,-153.55459583129027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1094,1530,526,240,1201,1126,771,1036,1349,1588,1626,1653,0,2023-07-22,23.44551818644286,-75.69832031626062,"{""type"":""MultiPoint"",""coordinates"":[]}"
1098,1651,5299,4500,1724,2095,3092,3141,3446,3764,3824,4116,0,2023-04-07,12.52242401682548,27.523439921288404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1099,2178,417,307,2661,2365,2167,1937,2384,2306,2716,2345,0,2023-03-08,55.86909924428209,-110.67822216840446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,2059,462,197,1735,1499,1209,1270,1722,1925,1624,1775,0,2023-02-05,22.98939970953321,78.44575359279615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,1853,914,740,1518,1174,1004,1036,1007,1106,971,1074,0,2023-03-31,20.523925194987214,-80.30867976732976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,1119,1067,420,853,729,480,612,1671,2303,2369,2475,0,2023-03-24,4.814876498994691,23.808457101156446,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,9129,724,723,8809,8093,8325,8396,8238,8107,7762,7818,0,2023-01-03,-74.70076857773489,71.43472849170594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1108,1246,185,123,947,562,376,297,303,283,257,243,0,2023-08-10,2.570077811972616,124.44250509215314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,1491,56,45,967,519,294,239,202,185,151,145,0,2023-07-26,-12.428718163177834,-176.96830145575288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1114,1580,3546,3089,1434,1719,2536,2504,2644,2802,2768,2751,0,2023-01-18,19.294203534061644,19.446573735065485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1115,2195,6331,5568,2318,2927,4068,4217,4522,4916,4605,5138,0,2023-08-18,27.6511976702649,22.231122615723184,"{""type"":""MultiPoint"",""coordinates"":[]}"
1117,1553,6691,5587,1525,2230,4209,4519,4833,5058,4855,5086,0,2023-11-05,19.135300794103028,23.919730214670064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1121,1448,2349,1560,1139,1052,834,1215,2076,2647,2575,2831,0,2023-12-06,-18.391891047025993,36.5894541707717,"{""type"":""MultiPoint"",""coordinates"":[]}"
1127,1947,785,650,1597,1243,1129,1055,990,988,1005,930,0,2023-09-13,72.23995691216021,-22.815201511396772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131,2252,1430,1044,2012,1652,1562,1487,1469,1401,1422,1274,0,2023-01-07,-15.292943245569596,-170.4434315384584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,1336,4221,3339,1147,1277,2536,2743,3070,3206,2931,3264,0,2023-02-25,-28.392024877466998,123.01378636351116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,1426,1884,1752,1450,1487,1593,1547,1545,1587,1562,1592,0,2023-08-25,36.33272821071789,82.11125949843758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134,1431,266,203,1017,742,424,401,378,372,282,371,0,2023-09-09,17.475148008599344,106.96247612521286,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135,1331,110,84,918,498,298,256,225,217,184,198,0,2023-05-06,-9.341721203101045,-153.43350365647322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,1923,6912,5867,2182,3118,4876,5039,5393,5738,5562,6014,0,2023-07-23,28.040326725368875,39.416143405963126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138,1296,1768,1244,1278,1348,1563,1593,1736,1818,1959,1925,0,2023-10-08,38.05703015454627,42.68596089205812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140,1014,2174,875,752,745,354,806,3964,5435,5149,5776,0,2023-11-28,-25.653151513566915,-55.751950582600436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141,1749,6916,5819,1754,2386,4273,4552,4933,5291,4900,5273,0,2023-08-03,19.441373326584404,21.320578681950227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,1344,2426,1496,1154,1041,1068,1208,1468,1637,1707,1859,0,2023-06-18,-26.2473329845141,25.403521973115147,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,1433,45,29,1016,583,322,263,220,208,153,154,0,2023-05-28,-33.00823397083743,124.5781209346933,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,1310,69,53,825,478,277,245,220,192,164,159,0,2023-11-14,11.081789071755818,165.0741603826917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,1267,138,102,917,570,354,312,285,275,255,238,0,2023-07-22,-5.304539976837892,-13.500218527962279,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154,2329,6567,5072,2501,3128,4401,4484,4786,5253,4915,5583,0,2023-09-23,30.18164373010951,22.328147219521956,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156,8655,1138,1317,8319,7180,8030,8294,8330,8332,8068,8198,0,2023-03-26,73.35377434406732,101.68842035921571,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157,3409,2965,2143,3467,3243,3344,3356,3346,3364,3461,3363,0,2023-05-21,-15.586136058029075,-4.562233437802992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,1287,969,463,923,688,497,662,1338,1645,1682,1884,0,2023-10-27,38.93252027988845,140.5647561361014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160,1598,4122,3229,1481,1657,2294,2431,2636,2800,2645,2963,0,2023-10-25,16.15182740729589,-1.5445875739317216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,1221,3030,2112,1010,1077,1226,1396,2134,2482,2429,2746,0,2023-12-12,-4.710830665862109,36.946963392063935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162,1418,333,267,1101,760,567,502,481,499,435,472,0,2023-07-23,5.0878500546649,77.22929645678327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164,1593,1993,1194,1629,1412,1495,1401,1744,1905,2088,1994,0,2023-07-15,16.94151920793595,78.23539821469967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,1574,384,294,1108,738,613,489,522,528,395,484,0,2023-11-04,-4.894431009232288,-172.96559502034805,"{""type"":""MultiPoint"",""coordinates"":[]}"
1166,5088,993,848,4153,3402,3953,4942,5001,5623,4592,5799,0,2023-12-29,55.22316167065822,64.95131553779456,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,1543,1996,1240,1163,1085,850,1229,2570,3125,3102,3284,0,2023-05-11,32.88016269658214,114.72466201274314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1169,1572,2074,978,1332,1311,1027,1276,3041,4066,3768,4421,0,2023-08-24,26.409980892285564,77.94980609893834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1173,1189,1021,498,889,663,488,616,1259,1479,1356,1509,0,2023-07-22,58.36754480146503,61.49164933000869,"{""type"":""MultiPoint"",""coordinates"":[]}"
1176,3220,2378,2125,2952,2525,2479,2512,2588,2537,2388,2444,0,2023-11-13,32.948915312018386,31.234671590476726,"{""type"":""MultiPoint"",""coordinates"":[]}"
1177,1640,472,371,1163,807,662,654,620,622,509,575,0,2023-02-17,-28.341831569858513,-126.41662417630914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1179,3451,3743,2864,2997,2962,3038,3312,3976,4297,3929,4561,0,2023-11-02,5.958110573739594,34.66046100393129,"{""type"":""MultiPoint"",""coordinates"":[]}"
1180,1280,2922,1971,1132,1112,1445,1564,1816,2006,2037,2230,0,2023-05-16,-22.714012830769448,135.68739484154665,"{""type"":""MultiPoint"",""coordinates"":[]}"
1181,1506,177,142,1159,719,445,392,354,334,322,276,0,2023-05-06,-38.324342273492356,-14.341928541936104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,1278,2350,1612,1002,845,767,912,1192,1371,1425,1548,0,2023-05-27,64.38745577283764,153.98588062961917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1183,1570,2977,1619,1311,1201,1237,1514,2339,2753,2599,3223,0,2023-06-30,50.408430198176625,-111.47982441147943,"{""type"":""MultiPoint"",""coordinates"":[]}"
1186,2143,914,720,1614,1272,1140,1345,1946,2171,2062,2248,0,2023-03-01,49.28948155541113,-115.91326599328124,"{""type"":""MultiPoint"",""coordinates"":[]}"
1187,8609,979,1000,8202,7046,8006,8504,8618,8596,8119,8529,0,2023-03-22,68.8155785391964,-113.62104869189025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1189,1209,13,4,828,477,253,193,165,143,108,100,0,2023-07-04,69.77042199790995,-55.425926658437376,"{""type"":""MultiPoint"",""coordinates"":[]}"
1191,3382,591,480,3317,2966,3097,3127,3659,3764,3575,3783,2048,2023-01-03,45.620610940952375,-89.34559649207193,"{""type"":""MultiPoint"",""coordinates"":[]}"
1195,5877,4642,3248,5674,5461,5832,5839,5901,6004,5853,6003,0,2023-05-03,-21.84156357925047,-71.47744795489245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1197,1141,95,79,826,573,324,278,237,210,197,191,0,2023-06-20,61.45617756773405,178.0414626346438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1198,1498,3435,2555,1311,1219,1390,1474,1672,1843,1823,2135,0,2023-08-07,47.014954721064484,46.19970647436597,"{""type"":""MultiPoint"",""coordinates"":[]}"
1201,1794,201,162,1354,833,632,591,546,510,457,427,0,2023-12-19,45.777468754810215,144.24447016048754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1207,8207,938,1015,7909,6965,7592,7908,8050,7808,7455,7773,0,2023-03-03,-81.73015320440015,23.59862456150546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1209,1510,3889,2931,1389,1551,2140,2312,2589,2883,2559,3209,0,2023-11-11,12.225569130649315,25.5870266943247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1212,7563,525,488,7063,6758,7138,7421,7320,7050,6572,6733,0,2023-05-12,62.66653889210185,149.08792266273096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1214,3712,3350,2829,3073,3234,3912,4478,4560,4489,4320,4604,0,2023-05-21,31.30430806810229,79.31929393756342,"{""type"":""MultiPoint"",""coordinates"":[]}"
1215,1172,1762,730,862,821,425,988,3083,3962,3491,4381,0,2023-07-14,42.270349146806936,42.120958059042174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1217,1538,209,154,1075,703,492,409,389,389,311,357,0,2023-05-03,-4.221429553802048,98.3570022100923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1222,1526,413,332,1203,848,672,622,579,582,568,535,0,2023-10-31,6.945999241843219,167.36330258605227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1230,1465,2645,2048,1274,1134,1343,1434,1546,1684,1719,1875,0,2023-03-24,40.71583084440518,116.57237125227823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1233,7671,273,215,8583,8069,7910,6088,6334,4375,5183,4285,0,2023-04-07,76.71800723480801,-67.84270719546348,"{""type"":""MultiPoint"",""coordinates"":[]}"
1235,1242,135,87,926,697,447,396,367,350,323,310,0,2023-03-25,37.674836717122574,140.10125238072305,"{""type"":""MultiPoint"",""coordinates"":[]}"
1239,1478,1204,1193,1117,780,654,657,688,705,657,709,0,2023-09-29,53.265311271519266,-73.80950249584478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1240,1716,4530,3635,1677,1959,2725,3001,3219,3337,3304,3641,0,2023-04-22,14.480974793029974,-0.029418536526998818,"{""type"":""MultiPoint"",""coordinates"":[]}"
1244,1234,1755,646,899,812,469,885,2999,4048,4028,4611,0,2023-12-09,2.4416106942989284,-63.870762387354404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1247,1381,2450,1470,1104,949,884,1183,1672,1796,1842,2097,0,2023-10-12,-51.704020915626394,-72.13502634813013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1249,2032,1081,979,1761,1354,1249,1084,1058,1107,1018,1114,0,2023-06-29,-27.061944628019656,-129.93466799854855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1250,2686,1083,868,2317,1840,1618,1715,2055,2147,2346,2169,0,2023-11-13,52.52751703245972,-83.63833859579982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1251,1525,380,296,1208,837,673,554,512,502,541,461,0,2023-01-12,-29.1392913627981,-177.86967721192573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1255,1156,33,22,780,450,236,189,163,155,118,121,0,2023-03-15,-10.045866399608961,129.07530197070577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1256,1631,1076,606,1179,906,730,888,1234,1440,1358,1687,0,2023-02-20,53.21999187749617,-0.05599374007710956,"{""type"":""MultiPoint"",""coordinates"":[]}"
1259,9472,4375,3809,9391,8627,9276,9468,9494,9339,9205,9287,0,2023-08-27,-70.14497570870722,84.61435622869756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1260,1066,2059,1194,837,781,701,1023,1637,1868,1781,2135,0,2023-01-06,3.6383631123506817,33.38227119519913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1261,2594,2020,2017,2303,1942,1922,1976,1989,2038,1827,2079,0,2023-01-12,-44.39261192100679,166.27344408372667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1262,2802,637,461,2750,2731,3017,2518,2224,2910,3111,3058,0,2023-03-29,50.64148793066705,137.91717586006462,"{""type"":""MultiPoint"",""coordinates"":[]}"
1264,1381,1535,796,1049,780,760,1042,1428,1597,1617,1888,0,2023-08-28,65.7229293367341,-110.68494320072503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1265,1282,137,109,948,571,362,327,301,270,259,241,0,2023-09-23,-32.043779406371755,154.59367282628128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1266,1180,1943,957,940,836,668,963,1748,2111,2120,2483,0,2023-02-27,-7.44138876035337,-37.445065606324235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1270,1610,4270,3454,1536,1787,2620,2776,2979,3145,3026,3214,0,2023-11-29,-26.22612801648938,140.69547451214058,"{""type"":""MultiPoint"",""coordinates"":[]}"
1272,1682,465,353,1255,829,648,617,608,646,527,605,0,2023-02-18,-7.18523513993295,-12.28809341775998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1274,1305,29,11,870,475,244,198,167,148,118,105,0,2023-09-27,14.425390237343855,-81.085399588274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1278,1620,523,411,1288,939,786,726,728,738,639,728,0,2023-02-11,0.8686562429847052,131.62086984985385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1282,1997,1089,829,1572,1256,1141,1182,1202,1236,994,1205,0,2023-05-20,21.903428194832316,-160.5449747990817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1284,1590,2288,1855,1333,1268,1455,1489,1688,1836,1907,1970,0,2023-02-08,29.11138589024444,-105.18479782220432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1285,1471,2590,2274,1369,1476,1939,2053,2190,2298,2192,2296,0,2023-07-01,49.10701748448441,92.54317607273009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1286,7157,913,962,7000,6385,7144,7399,7553,7547,7383,7623,0,2023-12-20,44.66782780335146,86.61575554149591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1288,1402,1681,1199,1104,920,811,996,1363,1494,1530,1665,0,2023-09-06,52.9934620229072,-124.34296847504228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1290,6755,228,174,7130,6673,7337,7439,7222,6999,6668,6675,0,2023-04-16,63.37117180002417,132.03854269735535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1291,1463,84,58,956,516,304,260,238,215,176,179,0,2023-11-16,18.942287957283842,166.93879481627675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1299,1400,186,149,959,568,373,346,310,320,238,285,0,2023-02-28,-22.43179913623073,112.63504610557568,"{""type"":""MultiPoint"",""coordinates"":[]}"
